Number,Date,City,Type of Land,Block,Land ID,Area ( m2),Price ( kd),Lat / Long,1- Street ( Y / N),  Back and Front Streets? (0/1),Corner (0/1),Island (0/1),Alley (0/1),Next to Electricity Generator (0/1),Next to a yard (0/1),width,length,Front Yard Area (m2),back Yard Area (m2),Right Yard,Left Yard,Sea Side,Built (0/1),No. Floors,Basement (0/1),Year Built,Restoration Date,ruinous,Rented,Number Of Unit,Income,Additional information
443,2020/09/23,Sabah Al Ahmed Al Bahreya,Residential,A3,1746,600,250000,"28.658721, 48.342980 ",0,1,0,0,0,0,0,20,30,7,11,0,0,0,0,0,0,0,0,0,0,0,,
444,2020/09/23,Sabah Al Ahmed Al Bahreya,Residential,A3,4003,480,225000,"28.658353, 48.343343 ",0,1,0,0,0,0,0,16,30,7,11,0,0,0,0,0,0,0,0,0,0,0,,
445,2020/09/23,Sabah Al Ahmed Al Bahreya,Residential,A3,4004,480,225000,"28.658221, 48.343466 ",0,1,0,0,0,0,0,16,30,7,11,0,0,0,0,0,0,0,0,0,0,0,,
446,2020/09/24,Shaab,Residential,1,15 غ,400,430000,"29.346758, 48.029784 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
447,2020/09/27,Abu Ftaira,Residential,8,361,400,585000,"29.184699, 48.104027 ",0,1,0,0,0,0,0,16,25,4,3,0,0,0,1,3,1,0,0,0,1,3,,
448,2020/10/05,Sabah Al Ahmed Al Bahreya,Residential,A4,1919,475,220000,"28.649588, 48.336149 ",0,1,0,0,1,0,0,16.27,28.2,10,20,5,0,1,0,0,0,0,0,0,0,0,,
449,2020/10/08,Sabah Al Ahmed Al Bahreya,Residential,A4,1718,610,212000,"28.653316, 48.349478 ",0,1,0,0,0,0,0,20.29,33.89,7,20,0,0,1,0,0,0,0,0,0,0,0,,
450,2020/10/18,Sabah Al Ahmed Al Bahreya,Residential,A4,2972,464,200000,"28.636634, 48.348700 ",0,1,0,0,0,0,0,15,30.93,11,11,0,0,1,0,0,0,0,0,0,0,0,,
451,2020/10/25,Sabah Al Ahmed Al Bahreya,Residential,A3,4022,459,220000,"28.658944, 48.337437 ",0,1,0,0,0,0,0,15.3,30,7,11,0,0,1,0,0,0,0,0,0,0,0,,
452,2020/10/25,Sabah Al Ahmed Al Bahreya,Residential,A4,3058,450,205000,"28.633323, 48.349993 ",0,1,0,0,0,0,0,15,30,7,11,0,0,1,0,0,0,0,0,0,0,0,,
453,2020/11/12,Sabah Al Ahmed Al Bahreya,Residential,A3,2755,465,125000,"28.668586, 48.364918 ",0,1,0,0,0,0,0,15.25,30,11,50,0,0,0,0,0,0,0,0,0,0,0,,
454,2020/11/15,Sabah Al Ahmed Al Bahreya,Residential,A4,2915,450,204000,"28.639529, 48.348311 ",0,1,0,0,0,0,0,15,30,7,15,0,0,1,0,0,0,0,0,0,0,0,,
455,2020/11/16,Sabah Al Ahmed Al Bahreya,Residential,A3,2756,465,127000,"28.668676, 48.364797 ",0,1,0,0,0,0,0,15.25,30,11,50,0,0,0,0,0,0,0,0,0,0,0,,
456,2020/11/22,KHIRAN CITY,Residential,2,397,400,125000,"28.673415, 48.282988 ",0,0,1,0,0,0,0,16,25,4,0,7,0,0,0,0,0,0,0,0,0,0,,
457,2020/11/30,Zahra,Residential,2,567,376,475000,"29.282352, 48.005815 ",1,0,0,0,0,0,0,25,15,5,0,0,0,0,0,0,0,0,0,0,0,0,,
458,2020/12/12,Sabah Al Ahmed Al Bahreya,Residential,A2,765,693,143000,"28.683074, 48.360644",1,0,0,0,0,0,0,17,40.5,9,12,0,0,1,0,0,0,0,0,0,0,0,,
459,2020/12/20,Sabah Al Ahmed Al Bahreya,Residential,A2,824,710,155000,"28.675909, 48.360952",0,1,0,0,0,0,0,F/ 20.71- B/18.75,34,7,7,0,0,1,0,0,0,0,0,0,0,0,,
460,2020/12/27,Sabah Al Ahmed Al Bahreya,Residential,A3,2879,464,220000,"28.663792, 48.342499",0,1,0,0,0,0,0,F/16.87- B/18.53,27.5,18,6,0,0,1,0,0,0,0,0,0,0,0,,
461,2020/12/30,Sabah Al Ahmed Al Bahreya,Residential,A3,1460,618,440000,"28.669017, 48.352512",0,1,0,0,0,0,0,F/20.50-B/20,30.9,9,13,0,0,1,1,2,0,2020,0,0,0,1460,,
462,2021/01/04,Sabah Al Ahmed Al Bahreya,Residential,A4,1207,488,220000,"28.646267, 48.332308",0,1,0,0,0,0,0,F/16.782-B19.10,27.20,16,8,0,0,1,1,2,0,2021,0,0,0,1207,,
463,2021/01/06,Sabah Al Ahmed Al Bahreya,Residential,A4,2422,500,3550000,"28.623967, 48.335239",0,1,0,0,0,0,0,F/15-B/18.33,30,16,7,0,0,1,1,2,0,2021,0,0,0,2422,,
464,2021/01/10,AL-SIDDIQ,Residential,3,382,400,600000,"29.293225, 47.999814",0,0,1,0,0,0,0,20.67,15,4,0,10,0,0,0,0,0,0,0,0,0,0,,
465,2021/01/14,Sabah Al Ahmed Al Bahreya,Residential,A3,2963,480,225000,"28.656739, 48.328376",0,1,0,0,0,0,0,F/15-B/17,32,11,9,0,0,0,0,0,0,0,0,0,0,2693,,
466,2021/01/14,Sabah Al Ahmed Al Bahreya,Residential,A3,4016,459,215000,"28.658231, 48.338133",0,1,0,0,1,0,0,15.30,30,15,10,0,0,0,0,0,0,0,0,0,0,0,,
467,2021/01/30,Dasma,Residential,6,226,375,395000,"29.363199, 48.006347",1,0,0,0,0,0,0,15,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
468,2021/02/02,Sabah Al Ahmed Al Bahreya,Residential,A1,1185,636.5,135000,"28.659749, 48.364053",0,1,0,0,0,0,0,16,39.75,9,30,0,0,1,0,0,0,0,0,0,0,0,,
469,2021/02/03,Sabah Al Ahmed Al Bahreya,Residential,A3,3698,530,330000,"28.670885, 48.329280",0,1,0,0,0,0,0,15.03,35,15,7,0,0,1,0,2,0,2017,0,0,0,0,,
470,2021/02/07,Sabah Al Ahmed Al Bahreya,Residential,A4,3043,450,213000,"28.633471, 48.347662 ",0,1,0,0,0,0,0,15,30,7,15,0,0,1,0,0,0,0,0,0,0,0,,
471,2021/02/08,Sabah Al Ahmed Al Bahreya,Residential,A2,698,1012,340000,"28.687098, 48.368227",0,1,0,0,0,0,0,F/23-B/30.91,36,7,40,0,0,0,1,2,0,2020,0,0,0,698,,
472,2021/02/14,Sabah Al Ahmed Al Bahreya,Residential,A5,3588,605,230000,"28.623107, 48.346189",0,1,0,0,0,0,0,F/15.17-B/17.34,37,12,12,0,0,1,0,0,0,0,0,0,0,0,,
473,2021/02/16,Sabah Al Ahmed Al Bahreya,Residential,A4,1446,520,240000,"28.641522, 48.323004",0,1,0,0,0,0,0,F/15.74-B/18.92,30,9,9,0,0,1,0,0,0,0,0,0,0,0,,
474,2021/02/16,Sabah Al Ahmed Al Bahreya,Residential,A5,3576,595,225000,"28.622125, 48.344652",0,1,0,0,0,0,0,16.08,37,11,11,0,0,1,0,0,0,0,0,0,0,0,,
475,2021/02/18,Sabah Al Ahmed Al Bahreya,Residential,A3,4005,480,265000,"28.658178, 48.343580",0,1,0,0,0,0,0,16,30,14,8,0,0,1,0,0,0,0,0,0,0,0,,
476,2021/02/21,Zahra,Residential,2,565,375,475000,"29.282462, 48.005506",1,0,0,0,0,0,0,25,15,5,0,0,0,0,0,0,0,0,0,0,0,0,,
477,2021/02/23,Sabah Al Ahmed Al Bahreya,Residential,A2,4,1889,350000,"28.682861, 48.375925",0,1,0,0,0,0,0,F/16-B/32.92,72,22,15,0,0,1,0,0,0,0,0,0,0,0,,
478,,Sabah Al Ahmed Al Bahreya,Residential,A4,1977,595,250000,"28.650885, 48.342054",0,1,0,0,0,0,0,15.48,38.43,14,10,0,0,1,0,0,0,0,0,0,0,0,,
479,2021/03/01,Sabah Al Ahmed Al Bahreya,Residential,A4,1978,595,245000,"28.650789, 48.341929",0,1,0,0,0,0,0,15.48,38.43,14,10,0,0,1,0,0,0,0,0,0,0,0,,
480,2021/03/01,Sabah Al Ahmed Al Bahreya,Residential,A4,3076,450,235000,"28.632782, 48.350037",0,1,0,0,0,0,0,15,30,14,10,0,0,1,0,0,0,0,0,0,0,0,,
481,2021/03/01,Sabah Al Ahmed Al Bahreya,Residential,A5,3598,650,235000,"28.623149, 48.348014",0,1,0,0,0,0,0,F/15.15-B/20.12,37.4,11,11,0,0,1,0,0,0,0,0,0,0,0,,
482,2021/03/02,Sabah Al Ahmed Al Bahreya,Residential,A5,3620,555,220000,"28.620497, 48.346745",0,1,0,0,0,0,0,15,37,11,9,0,0,0,0,0,0,0,0,0,0,0,,
483,2021/03/03,Sabah Al Ahmed Al Bahreya,Residential,A5,4639,576,140000,"28.622047, 48.348975",0,1,0,0,0,0,0,F/16-B/18.912,33,11,20,0,0,0,0,0,0,0,0,0,0,0,,
484,2021/03/03,Sabah Al Ahmed Al Bahreya,Residential,A5,4640,576,140000,"28.621883, 48.348972",0,1,0,0,0,0,0,F/16-B/18.912,33,11,20,0,0,1,0,0,0,0,0,0,0,0,,
485,2021/03/07,Sabah Al Ahmed Al Bahreya,Residential,A5,3714,471,215000,"28.614109, 48.349558",0,1,0,0,0,0,0,15.01,31.37,14,10,0,0,1,0,0,0,0,0,0,0,0,,
486,2021/03/07,Sabah Al Ahmed Al Bahreya,Residential,A3,1755,650,370000,"28.657331, 48.344091",0,1,0,0,1,0,0,F/37.50-B/20.36,19.45,11,8,0,0,1,0,0,0,0,0,0,0,0,,
487,2021/03/14,Sabah Al Ahmed Al Bahreya,Residential,A3,1752,700,350000,"28.657961, 48.343801",0,1,0,0,1,0,0,23.58,21.48,11,8,0,0,1,0,0,0,0,0,0,0,0,,
488,2021/03/14,Sabah Al Ahmed Al Bahreya,Residential,A4,1489,450,420000,"28.640859, 48.327248",0,1,0,0,0,0,0,15,30,11,9,0,0,1,1,2,0,2020,0,0,0,1489,,
489,2021/03/18,Sabah Al Ahmed Al Bahreya,Residential,A3,2620,645,280000,"28.662457, 48.356343",0,1,0,0,0,0,0,F/15-B/19.86,31.60,8,8,0,0,1,0,0,0,0,0,0,0,0,,
490,2021/03/24,Fnaitees,Residential,2,155,400,560000,"29.225531, 48.085790",1,0,0,0,0,0,0,16,25,6,0,0,0,0,1,3,0,2021,0,1,1,31,,
491,2021/03/24,Sabah Al Ahmed Al Bahreya,Residential,A4,2273,515,280000,"28.632653, 48.331120",0,1,0,0,0,0,0,F/15-B/19.33,30,10,8,0,0,0,0,0,0,0,0,0,0,0,,
492,2021/03/25,Sabah Al Ahmed Al Bahreya,Residential,A3,3252,500,270000,"28.674862, 48.341661",0,1,0,0,0,0,0,16,31.25,10,7,0,0,1,0,0,0,0,0,0,0,0,,
493,2021/03/29,Sabah Al Ahmed Al Bahreya,Residential,A2,789,640,170000,"28.681389, 48.356962",1,0,0,0,0,0,1,16,40,9,0,0,0,0,0,0,0,0,0,0,0,0,,
494,2021/04/04,Sabah Al Ahmed Al Bahreya,Residential,A3,1753,500,330000,"28.657710, 48.343948",0,1,0,0,0,0,0,F/23.89-B/21.44,26.31,8,11,0,0,0,0,0,0,0,0,0,0,0,,
495,2021/08/07,Sabah Al Ahmed Al Bahreya,Residential,A5,3883,495,230000,"28.604122, 48.346919",0,1,0,0,0,0,0,F/16-B/20,27.50,12,10,0,0,0,0,0,0,0,0,0,0,0,,
496,2021/04/07,Sabah Al Ahmed Al Bahreya,Residential,A5,3632,474,220000,"28.620302, 48.347631",0,1,0,0,0,0,0,F/15.395-B/19.057,27.50,12,10,0,0,1,0,0,0,0,0,0,0,0,,
497,2021/04/08,Jabriya,Residential,9,761,432,470000,"29.311831, 48.025052",1,0,0,0,0,0,0,16,27,7,0,0,0,0,0,0,0,0,0,0,0,0,,
498,2021/04/08,Sabah Al Ahmed Al Bahreya,Residential,A5,3868,425,225000,"28.603386, 48.349022",0,1,0,0,0,0,0,15.28,34.30,10,8,0,0,0,0,0,0,0,0,0,0,0,,
499,2021/04/08,Shaab,Residential,1,15 غ,400,485000,"29.346758, 48.029784 ",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
500,2021/04/11,Sabah Al Ahmed Al Bahreya,Residential,A5,4659,494,160000,"28.618494, 48.350019",0,1,0,0,0,0,1,F/15-B/17.50,30.40,11,60,0,0,0,0,0,0,0,0,0,0,0,,
501,2021/04/15,Sabah Al Ahmed Al Bahreya,Residential,A5,4639,576,160000,"28.622047, 48.348975",0,1,0,0,0,0,0,F/16-B/18.912,33,11,20,0,0,1,0,0,0,0,0,0,0,0,,
502,2021/04/27,Sabah Al Ahmed Al Bahreya,Residential,A4,1832,474,280000,"28.647961, 48.351253",0,1,0,0,0,0,0,15.80,30,14,7,0,0,1,0,0,0,0,0,0,0,0,,
503,2021/05/02,Sabah Al -Salem,investment lands,1,,109.818,125000,,,,,,,,,,,,,,,,,,,,,,,,,
504,2021/05/14,Sabah Al Ahmed Al Bahreya,Residential,A5,3761,519,240000,"28.611561, 48.351703",0,1,0,0,0,0,0,F/15.17-B/19.197,30.20,9,14,0,0,1,0,0,0,0,0,0,0,0,,
505,2021/05/23,Sabah Al -Salem,Residential,7,407,395,360000,"29.255080, 48.074125",0,1,0,0,0,0,0,14,29.25,5,7,0,0,0,1,2,0,1997,0,0,0,20,,
506,2021/05/26,Sabah Al Ahmed Al Bahreya,Residential,A4,3076,450,265000,"28.632782, 48.350037",0,1,0,0,0,0,0,15,30,14,10,0,0,1,0,0,0,0,0,0,0,0,,
507,2021/06/01,Sabah Al Ahmed Al Bahreya,Residential,A5,3344,450,255000,"28.617806, 48.355669",0,1,0,0,0,0,0,15,30,14,10,0,0,1,0,0,0,0,0,0,0,0,,
508,2021/06/01,Sabah Al Ahmed Al Bahreya,Residential,A5,3348,450,255000,"28.617776, 48.355012",0,1,0,0,0,0,0,15,30,14,10,0,0,1,0,0,0,0,0,0,0,0,,
509,2021/06/01,Sabah Al Ahmed Al Bahreya,Residential,A5,4537,488,180000,"28.615661, 48.352594",0,1,0,0,0,0,0,F/15.23-B/17.78,29.58,10,25,0,0,0,0,0,0,0,0,0,0,0,,
510,2021/06/06,Sabah Al Ahmed Al Bahreya,Residential,A5,4853,492,160000,"28.611638, 48.342440",0,1,0,0,0,0,0,F/15.38-B/17.73,29.72,10,11,0,0,0,0,0,0,0,0,0,0,0,,
511,2021/06/07,Sabah Al Ahmed Al Bahreya,Residential,A5,4870,499,170000,"28.614270, 48.342012",0,1,0,0,0,1,0,F/15.07-B/17.67,29.76,11,20,24,0,0,0,0,0,0,0,0,0,0,,
512,2021/06/08,NEW WAFRA,Residential,1,354,600,205000,"28.612291, 48.010015",0,0,1,0,0,0,0,30,20,12,0,4,0,0,1,2,0,2020,0,0,0,7,,
513,2021/06/10,Sabah Al Ahmed Al Bahreya,Residential,A5,2767,610,275000,"28.619510, 48.364097",0,1,0,0,0,0,0,F/15.01-B/19.616,35.23,10,14,0,0,1,0,0,0,0,0,0,0,0,,
514,20212/06/10,Sabah Al Ahmed Al Bahreya,Residential,A5,2766,610,275000,"28.619614, 48.363978",0,1,0,0,0,0,0,F/15.01-B/19.616,35.23,10,14,0,0,1,0,0,0,0,0,0,0,0,,
515,2021/06/13,Sabah Al Ahmed Al Bahreya,Residential,A5,4854,492,165000,"28.611784, 48.342196",0,1,0,0,0,0,0,F/15.38-B/17.73,29.72,10,11,0,0,0,0,0,0,0,0,0,0,0,,
516,2021/06/15,Sabah Al Ahmed Al Bahreya,Residential,A3,2719,480,170000,"28.658338, 48.353936",1,0,0,0,1,0,1,15,32,9,25,0,0,0,0,0,0,0,0,0,0,0,,
517,2021/06/16,Sabah Al Ahmed Al Bahreya,Residential,A5,3976,478,250000,"28.608855, 48.345177",0,1,0,0,0,0,0,F/15.02-B/18.525,27.50,14,10,0,0,1,0,0,0,0,0,0,0,0,,
518,2021/06/16,Sabah Al Ahmed Al Bahreya,Residential,A5,4857,492,170000,"28.611784, 48.342196",0,1,0,0,1,0,0,F/15.38-B/17.73,29.72,10,11,0,0,0,0,0,0,0,0,0,0,0,,
519,2021/06/17,Sabah Al Ahmed Al Bahreya,Residential,A3,3503,456,268000,"28.652116, 48.329697",0,1,0,0,0,0,0,15,30.04,10,7,0,0,1,0,0,0,0,0,0,0,0,,
520,2021/06/17,Sabah Al Ahmed Al Bahreya,Residential,A5,3632,474,260000,"29.311831, 48.025052",1,0,0,0,0,0,0,16,27,7,0,0,0,0,0,0,0,0,0,0,0,0,,
521,2021/06/17,Sabah Al Ahmed Al Bahreya,Residential,A5,4855,492,165000,"28.611865, 48.342036",0,1,0,0,0,0,0,F/15.38-B/17.73,29.72,10,11,0,0,0,0,0,0,0,0,0,0,0,,
522,2021/06/20,Sabah Al Ahmed Al Bahreya,Residential,A5,3975,473,265000,"28.608829, 48.345341",0,1,0,0,0,0,0,F/15.29-B/17.89,28.50,10,11,0,0,0,0,0,0,0,0,0,0,0,,
523,2021/06/22,Sabah Al Ahmed Al Bahreya,Residential,A5,3638,474,265000,"28.620452, 48.348646",0,1,0,0,0,0,0,F/15.395-B/19.75,27.54,10,10,0,0,0,0,0,0,0,0,0,0,0,,
524,2021/06/27,Jabriya,Residential,9,663,381,485000,"29.314516, 48.030097",1,0,0,0,0,0,0,18.75,20.26,7,0,0,0,0,0,0,0,0,0,0,0,0,,
525,2021/06/30,Sabah Al Ahmed Al Bahreya,Residential,A5,4856,492,175000,"28.612006, 48.341952",0,1,0,0,0,0,0,F/15.38-B/17.73,29.72,10,11,0,0,0,0,0,0,0,0,0,0,0,,
526,2021/07/01,Sabah Al Ahmed Al Bahreya,Residential,A5,3292,525,285000,"28.615699, 48.353159",0,1,0,0,0,0,0,F/15.56-B/19.44,30,11,10,0,0,1,0,0,0,0,0,0,0,0,,
527,2021/07/01,Sabah Al Ahmed Al Bahreya,Residential,A1,1242,640,165000,"28.661927, 48.366808",1,0,0,0,0,1,1,F/16-B/19,40,7,0,0,0,0,0,0,0,0,0,0,0,0,,
528,2021/07/25,Sabah Al Ahmed Al Bahreya,Residential,A4,2450,535,330000,"28.622346, 48.338649",0,1,0,0,0,0,0,F/19.53-B/16.13,30,10,6,0,0,1,0,0,0,0,0,0,0,0,,
529,2021/07/28,Sabah Al Ahmed Al Bahreya,Residential,A5,3510,534,300000,"28.623693, 48.353052",0,1,0,0,0,0,0,15.389,34.70,10,10,0,0,1,0,0,0,0,0,0,0,0,,
530,2021/08/01,Sabah Al Ahmed Al Bahreya,Residential,A5,3973,509,285000,"28.608839, 48.345674",0,1,0,0,0,1,0,16.10,31.61,20,20,0,0,1,0,0,0,0,0,0,0,0,,
531,2021/08/29,Sabah Al Ahmed Al Bahreya,Residential,A5,4519,523,210000,"28.613211, 48.353779",0,1,0,0,0,0,0,F/16.34-B/19.16,29.46,11,20,0,0,0,0,0,0,0,0,0,0,0,,
532,2021/08/29,BAYAN,Residential,4,185,375,560000,"29.307557,48.055609 ",0,0,1,0,0,0,0,18.75,20,7,0,2,0,0,1,3,0,0,0,0,0,46,,
533,2021/09/01,KHIRAN CITY,Residential,7,187,400,,"28.668971, 48.281307",1,0,0,0,1,0,0,16,25,4,0,0,7,0,0,0,0,0,0,0,0,0,,
534,2021/09/05,JABER AL-AHMED,Residential,4,57,349.161,200000, 29.343825 47.757928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
535,2021/09/09,Sabah Al Ahmed Al Bahreya,Residential,A5,4581,525,210000,"28.622975, 48.350515",0,1,0,0,0,1,0,15,32.14,7,11,0,7,0,0,0,0,0,0,0,0,0,,
536,2021/09/15,Sabah Al Ahmed Al Bahreya,Residential,A5,2766,610,320000,"28.619614, 48.363978",0,1,0,0,0,0,0,F/15.01-B/19.616,35.23,10,14,0,0,1,0,0,0,0,0,0,0,0,,
537,2021/09/21,Sabah Al Ahmed Al Bahreya,Residential,A5,3316,465,285000,"28.617347, 48.356138",0,1,0,0,0,0,0,15.24,30.96,8,11,0,0,1,0,0,0,0,0,0,0,0,,
538,2021/09/27,Sabah Al Ahmed Al Bahreya,Residential,A5,4581,525,200000,"28.622832, 48.350514",0,1,0,0,0,0,0,15,32.14,7,11,0,0,0,0,0,0,0,0,0,0,0,,
539,2021/10/05,Jabriya,Residential,10,238,750,620000,"29.312871, 48.033692",1,0,0,0,0,0,0,25,30,4,0,0,0,0,1,1,0,0,0,0,0,0,,
540,2021/10/14,Sabah Al -Salem,Residential,5,10,499.2,400000,"29.256458, 48.056433",1,0,0,0,1,0,0,15.80,31,9,0,0,0,0,1,2,0,0,0,0,0,39,,
541,2021/11/01,Sabah Al Ahmed Al Bahreya,Residential,A5,4639,576,200000,"28.622022, 48.349003",0,1,0,0,0,0,0,F/16-B/18.91,33,10,30,0,0,0,0,0,0,0,0,0,0,0,,
542,2021/11/11,KHIRAN CITY,Residential,2,490,400,185000,"28.668573, 48.283685",0,0,1,0,0,0,0,16,25,5,0,5,0,0,0,0,0,0,0,0,0,0,,
543,2021/11/14,Sabah Al Ahmed Al Bahreya,Residential,A5,3076,450,320000,"28.632782, 48.350037",0,1,0,0,0,0,0,15,30,14,10,0,0,1,0,0,0,0,0,0,0,0,,
544,2021/11/14,Sabah Al Ahmed Al Bahreya,Residential,A2,164,1644,450000,"28.674936, 48.372395",0,1,0,0,0,0,0,F/17-B/25.90,68,8,27,0,0,1,0,0,0,0,0,0,0,0,,
545,14/114/2021,Sabah Al Ahmed Al Bahreya,Residential,A4,3050,450,308000,"28.633429, 48.348732",0,1,0,0,0,0,0,15,30,11,7,0,0,1,0,0,0,0,0,0,0,0,,
546,2021/11/17,Sabah Al Ahmed Al Bahreya,Residential,A5,2869,510,300000,"28.612860, 48.365847",0,1,0,0,0,0,0,F/16.17-B/19.73,28.50,11,11,0,0,1,0,0,0,0,0,0,0,0,,
547,2021/11/21,Sabah Al Ahmed Al Bahreya,Residential,A5,4544,486,190000,"28.617443, 48.352326",0,1,0,0,0,0,0,F/15.19-B17.67,29.58,11,25,0,0,0,0,0,0,0,0,0,0,0,,
548,2021/11/21,MUBARAK AL-KABEER,Residential,5,383,400,400000,"29.185611, 48.082554",0,1,0,0,0,0,0,18,22.22,9,4,0,0,0,1,2,0,2010,2021,0,0,43,,
549,2021/11/22,Sabah Al Ahmed Al Bahreya,Residential,A5,4566,481,190000,"28.620781, 48.350425",0,1,0,0,0,0,0,F/15-B/17.52,29.54,11,15,0,0,0,0,0,0,0,0,0,0,0,,
550,/12/2021,SALAM,Residential,7,605,400,382500,"29.297196, 48.007008",1,0,0,0,0,0,0,25,16,4,0,0,0,0,0,0,0,0,0,0,0,0,,
551,2021/10/12,Sabah Al Ahmed Al Bahreya,Residential,A5,2725,675,360000,"28.621210, 48.362221",0,1,0,0,1,1,0,18.65,36.20,11,20,0,3.5,1,0,0,0,0,0,0,0,0,,
552,2021/12/02,Sabah Al Ahmed Al Bahreya,Residential,A5,4563,481,193000,"28.620537, 48.350803",0,1,0,0,0,0,0,F/15-B/17.52,29.54,11,15,0,0,0,0,0,0,0,0,0,0,0,,
553,2021/12/02,Sabah Al Ahmed Al Bahreya,Residential,A5,4564,481,193000,"28.620669, 48.350697",0,1,0,0,0,0,0,F/15-B/17.52,29.54,11,15,0,0,0,0,0,0,0,0,0,0,0,,
554,2021/12/06,Sabah Al Ahmed Al Bahreya,Residential,A5,3652,461,270000,"28.618606, 48.349421",0,1,0,0,0,0,0,F/15-B/18,27.50,9,9,0,0,1,0,0,0,0,0,0,0,0,,
555,2021/12/12,EGAILA,Residential,4,185,500,385000,"29.176505, 48.093506",1,0,0,0,0,0,0,20,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
556,2021/12/13,Sabah Al Ahmed Al Bahreya,Residential,A1,1262,480,300000,"28.663839, 48.366127",0,1,0,0,0,0,1,16,30,6,9,15,0,0,1,1,0,2016,0,0,0,1262,,
557,2021/12/13,Sabah Al Ahmed Al Bahreya,Residential,A5,2702,644,305000,"28.623415, 48.361118",0,1,0,0,0,0,0,F/15.35-B/20.23,36.50,11,11,0,0,1,0,0,0,0,0,0,0,0,,
558,2021/12/15,Fnaitees,Residential,3,285,500,555000,"29.214548, 48.100131",0,0,1,0,0,0,0,20,25,8,0,4,0,0,0,0,0,0,0,0,0,0,,
559,2021/12/22,mangaf,Residential,5,52,400,400000,"29.105395, 48.136835",1,0,0,0,0,0,0,16,20,6,0,0,0,0,1,2,0,2016,0,0,0,0,,
560,2021/12/27,Sabah Al Ahmed Al Bahreya,Residential,A5,4511,512,210000,"28.611273, 48.354937",0,1,0,0,0,0,0,F/16-B/18.75,29.46,10,14,0,0,0,0,0,0,0,0,0,0,0,,
561,2021/12/27,Sabah Al Ahmed Al Bahreya,Residential,A5,4566,481,192000,"28.620781, 48.350425",0,1,0,0,0,0,0,F/15-B/17.52,29.54,11,15,0,0,0,0,0,0,0,0,0,0,0,,
562,2021/12/28,Sabah Al Ahmed Al Bahreya,Residential,A4,1236,480,525000,"28.644932, 48.330117",0,1,0,0,0,0,0,16,30,7,8,0,0,1,1,3,0,2017,0,0,0,1236,,
563,2022/01/06,Sabah Al Ahmed Al Bahreya,Residential,A5,2810,526,300000,"28.617452, 48.364088",0,1,0,0,0,0,0,F/19-B/15,29.90,11,11,0,0,1,0,0,0,0,0,0,0,0,,
564,2022/06/10,Zahra,Residential,3,291,375,580000,"29.280893, 47.991442",1,0,0,0,0,0,0,15,25,7,0,0,0,0,1,2,0,2014,0,0,0,25,,
565,2022/01/16,Sabah Al Ahmed Al Bahreya,Residential,A5,3283,507,295000,"28.614748, 48.354593",0,1,0,0,0,0,0,F/18.76-B/15.4,30,11,11,0,0,1,0,0,0,0,0,0,0,0,,
566,2022/01/19,Mishrif,Residential,1,22,750,690000,"29.288703, 48.069680",1,0,0,0,0,0,0,20,37.50,4,0,0,0,0,1,2,0,2015,0,0,0,21,,
567,2022/01/22,KHIRAN CITY,Residential,3,320,400,220000,"28.662673, 48.281624",1,0,0,0,0,0,1,16,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
568,2022/01/30,Sabah Al Ahmed Al Bahreya,Residential,A5,2673,495,330000,"28.624370, 48.361617",0,1,0,0,0,0,0,F/19.19-B/15.15,28.50,19,8,0,0,1,0,0,0,0,0,0,0,0,,
569,2022/02/01,al-ardiya6,industrial land,1,28,1000,200000000,"29.298463, 47.923995",1,0,0,0,0,0,0,20,50,7,0,0,0,0,1,2,0,2000,0,0,0,0,,
570,2022/02/02,Abu Ftaira,Residential,6,52,400,380000,"29.192791, 48.104279",1,0,0,0,0,0,0,16,20,4,0,0,0,0,1,3,0,2001,0,0,0,14,,
571,2022/02/09,Sabah Al Ahmed Al Bahreya,Residential,A5,4644,495,205000,"28.620820, 48.349049",0,1,0,0,1,0,0,F/15-B/17.47,30.44,11,11,7,0,0,0,0,0,0,0,0,0,0,,
572,2022/02/09,BAYAN,Residential,11,346,300,340000,"29.292479, 48.060543",1,0,0,0,0,0,0,12,25,4,0,0,0,0,1,2,0,2003,0,0,0,22,,
573,2022/02/13,Sabah Al Ahmed Al Bahreya,Residential,A5,4900,492,197000,"28.617890, 48.341478",0,1,0,0,0,0,0,F/15.38-B/17.69,29.67,8,10,0,0,0,0,0,0,0,0,0,0,0,,
574,2022/02/14,Sabah Al Ahmed Al Bahreya,Residential,A5,4505,512,210000,"28.610362, 48.354631",0,1,0,0,0,0,0,F/16-B/18.75,29.46,10,10,0,0,0,0,0,0,0,0,0,0,0,,
575,2022/02/14,AL-Masayel,Residential,4,366,400,520000,"29.233932, 48.091346",0,1,0,0,0,0,0,16,25,4,4,0,0,0,0,0,0,0,0,0,0,0,,
